Year;Attribut; Value ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 346 814 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 358 253 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 371 665 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 385 613 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 400 958 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 417 683 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 433 500 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 1 148 883 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 1 175 831 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 1 204 048 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 1 233 446 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 1 263 648 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 1 295 834 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 1 329 995 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 1 364 027 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 1 397 490 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 1 431 358 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 1 465 222 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 1 502 315 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 1 542 639 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 1 581 722 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 1 616 556 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 1 645 905 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 1 668 510 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 1 685 665 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 1 700 099 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 1 714 683 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 1 733 908 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 1 759 120 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 1 786 335 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 1 815 742 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 1 847 404 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 1 881 364 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 1 918 097 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 1 958 868 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 32 809 313 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 33 916 555 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 35 012 170 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 36 078 768 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 37 108 888 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 38 078 511 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 39 000 787 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 39 893 735 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 40 791 475 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 41 724 846 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 42 729 100 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 43 842 615 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 45 062 106 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 46 337 601 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 47 612 869 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 48 828 523 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 49 523 950 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 49 543 032 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 49 292 222 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 49 212 574 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 49 806 860 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 50 932 012 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 52 080 763 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 53 255 698 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 54 470 057 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 55 710 373 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 56 987 559 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 58 332 682 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 1 218 597 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 1 236 162 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 1 250 192 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 1 262 168 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 1 272 764 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 1 284 241 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 1 298 152 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 1 311 857 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 1 325 357 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 1 340 109 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 1 355 565 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 1 369 580 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 1 383 010 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 1 395 684 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 1 408 609 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 1 424 939 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 1 447 783 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 1 478 076 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 1 512 478 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 1 549 350 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 1 586 325 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 1 623 458 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 1 662 736 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 1 701 245 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 1 741 775 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 1 780 772 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 1 819 487 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 1 856 658 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 152 237 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 154 749 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 157 399 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 160 112 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 162 925 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 165 937 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 169 054 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 172 258 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 175 529 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 179 051 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 182 838 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 186 836 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 191 052 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 195 470 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 200 075 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 205 135 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 210 135 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 215 338 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 220 574 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 226 467 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 232 673 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 240 374 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 248 755 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 249 691 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 247 890 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 243 975 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 242 852 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 250 851 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 10 573 479 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 10 845 924 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 11 116 813 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 11 387 613 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 11 658 317 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 11 929 621 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 12 195 228 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 12 445 049 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 12 689 642 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 12 940 767 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 13 201 845 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 13 485 188 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 13 770 160 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 14 063 460 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 14 358 333 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 14 647 413 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 14 937 403 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 15 218 541 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 15 496 966 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 15 780 720 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 16 071 634 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 16 376 606 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 16 687 761 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 17 007 718 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 17 333 002 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 17 659 286 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 17 992 260 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 18 337 024 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 51 135 211 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 52 065 029 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 52 955 008 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 53 809 300 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 54 657 955 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 55 464 622 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 56 223 459 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 56 945 666 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 57 669 159 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 58 473 896 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 59 360 196 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 60 347 258 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 61 364 285 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 62 399 867 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 63 482 773 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 64 563 598 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 65 750 005 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 67 048 601 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 68 395 044 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 69 734 520 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 70 955 213 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 72 087 144 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 73 176 166 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 74 237 678 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 75 255 925 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 76 180 949 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 77 015 268 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 77 778 834 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 1 724 203 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 1 750 743 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 1 776 476 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 1 801 852 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 1 827 322 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 1 852 856 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 1 879 206 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 1 904 798 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 1 929 341 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 1 954 218 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 1 979 389 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 2 005 599 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 2 032 215 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 2 058 978 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 2 086 085 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 2 113 349 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 2 138 413 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 2 160 776 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 2 182 276 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 2 205 262 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 2 232 114 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 2 261 280 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 2 290 739 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 2 319 952 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 2 349 341 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 2 378 175 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 2 406 511 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 2 435 060 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 1 524 423 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 1 564 504 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 1 605 470 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 1 646 841 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 1 688 571 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 1 731 533 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 1 775 214 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 1 817 263 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 1 857 915 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 1 898 425 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 1 938 544 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 1 982 122 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 2 028 949 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 2 074 145 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 2 114 701 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 2 149 513 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 2 177 253 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 2 199 544 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 2 219 338 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 2 239 858 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 2 266 439 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 2 300 320 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 2 337 894 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 2 378 656 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 2 422 700 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 2 470 304 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 2 521 851 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 2 578 284 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 1 556 347 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 1 543 523 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 1 530 993 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 1 521 655 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 1 518 262 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 1 521 834 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 1 526 141 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 1 525 201 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 1 524 429 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 1 527 068 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 1 538 958 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 1 556 822 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 1 573 815 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 1 591 114 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 1 609 733 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 1 631 650 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 1 661 026 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 1 699 612 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 1 740 017 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 1 773 994 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 1 796 145 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 1 808 114 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 1 815 998 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 1 819 826 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 1 820 631 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 1 821 986 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 1 823 137 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 1 824 112 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 572 251 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 589 832 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 605 637 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 619 897 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 632 937 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 644 007 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 651 609 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 653 712 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 653 314 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 652 622 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 653 766 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 656 984 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 660 262 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 664 559 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 668 208 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 673 192 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 679 559 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 686 260 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 693 023 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 700 433 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 708 140 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 717 077 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 725 989 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 735 099 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 744 493 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 753 988 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 763 992 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 774 100 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 13 261 709 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 13 623 627 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 13 997 710 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 14 354 746 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 14 737 116 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 15 175 069 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 15 650 989 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 16 155 895 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 16 657 266 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 17 158 638 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 17 649 921 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 18 149 981 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 18 659 887 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 19 176 843 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 19 695 942 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 20 232 105 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 20 783 717 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 21 343 536 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 21 916 170 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 22 516 036 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 23 153 239 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 23 818 730 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 24 499 875 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 25 189 020 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 25 883 190 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 26 596 133 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 27 340 420 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 28 115 872 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 574 658 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 598 285 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 622 910 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 643 150 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 663 922 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 679 333 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 695 981 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 717 963 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 738 098 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 758 234 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 778 405 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 797 334 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 813 252 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 827 696 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 847 170 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 869 339 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 893 107 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 918 829 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 946 009 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 972 045 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 994 654 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 1 018 305 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 1 045 012 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 1 073 591 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 1 104 419 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 1 137 249 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 1 169 867 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 1 202 641 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 12 519 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 12 734 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 12 972 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 13 225 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 13 446 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 13 793 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 14 201 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 14 623 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 15 095 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 15 580 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 16 142 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 16 704 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 17 311 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 17 920 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 18 505 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 19 027 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 19 528 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 19 986 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 20 413 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 20 811 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 21 139 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 21 574 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 21 891 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 22 197 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 22 367 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 22 540 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 22 678 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 22 803 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 20 382 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 21 231 ;;;;;;;;;
